dataset,method,method_label,buffer,seed,final_avg_acc,avg_forgetting
split_cifar10,reservoir_uniform,Reservoir + Uniform,10,0,0.162,0.5660000000000001
split_cifar10,reservoir_uniform,Reservoir + Uniform,10,1,0.1507,0.5165
split_cifar10,reservoir_uniform,Reservoir + Uniform,10,2,0.1286,0.5287999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,10,3,0.1686,0.5251
split_cifar10,reservoir_uniform,Reservoir + Uniform,10,4,0.1511,0.5551
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,10,0,0.1609,0.5689
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,10,1,0.1476,0.5287
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,10,2,0.16629999999999998,0.5166999999999999
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,10,3,0.1709,0.5625000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,10,4,0.1,0.5164000000000001
split_cifar10,reservoir_ig,Reservoir + IG-priority,10,0,0.12010000000000001,0.5188
split_cifar10,reservoir_ig,Reservoir + IG-priority,10,1,0.1403,0.5307000000000001
split_cifar10,reservoir_ig,Reservoir + IG-priority,10,2,0.167,0.5427
split_cifar10,reservoir_ig,Reservoir + IG-priority,10,3,0.17229999999999998,0.5456000000000001
split_cifar10,reservoir_ig,Reservoir + IG-priority,10,4,0.1,0.5086999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,20,0,0.1643,0.5233000000000001
split_cifar10,reservoir_uniform,Reservoir + Uniform,20,1,0.14579999999999999,0.5166999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,20,2,0.1157,0.5545000000000001
split_cifar10,reservoir_uniform,Reservoir + Uniform,20,3,0.1539,0.5359999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,20,4,0.15910000000000002,0.5237
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,20,0,0.1484,0.5770000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,20,1,0.12110000000000001,0.5306
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,20,2,0.1035,0.5771
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,20,3,0.10840000000000001,0.5972000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,20,4,0.158,0.5025999999999999
split_cifar10,reservoir_ig,Reservoir + IG-priority,20,0,0.13169999999999998,0.5766
split_cifar10,reservoir_ig,Reservoir + IG-priority,20,1,0.1,0.5370999999999999
split_cifar10,reservoir_ig,Reservoir + IG-priority,20,2,0.1,0.5622999999999999
split_cifar10,reservoir_ig,Reservoir + IG-priority,20,3,0.1581,0.549
split_cifar10,reservoir_ig,Reservoir + IG-priority,20,4,0.1429,0.5131
split_cifar10,reservoir_uniform,Reservoir + Uniform,50,0,0.1775,0.5624
split_cifar10,reservoir_uniform,Reservoir + Uniform,50,1,0.14540000000000003,0.5612
split_cifar10,reservoir_uniform,Reservoir + Uniform,50,2,0.1665,0.556
split_cifar10,reservoir_uniform,Reservoir + Uniform,50,3,0.14100000000000001,0.5612
split_cifar10,reservoir_uniform,Reservoir + Uniform,50,4,0.1131,0.58
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,50,0,0.11740000000000002,0.5708
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,50,1,0.1376,0.5385
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,50,2,0.11100000000000002,0.5719
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,50,3,0.1248,0.5646
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,50,4,0.1748,0.5208999999999999
split_cifar10,reservoir_ig,Reservoir + IG-priority,50,0,0.1192,0.5699
split_cifar10,reservoir_ig,Reservoir + IG-priority,50,1,0.134,0.5332
split_cifar10,reservoir_ig,Reservoir + IG-priority,50,2,0.1626,0.5497
split_cifar10,reservoir_ig,Reservoir + IG-priority,50,3,0.1,0.5446000000000001
split_cifar10,reservoir_ig,Reservoir + IG-priority,50,4,0.1832,0.5115999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,100,0,0.15130000000000002,0.5619
split_cifar10,reservoir_uniform,Reservoir + Uniform,100,1,0.13419999999999999,0.5569000000000001
split_cifar10,reservoir_uniform,Reservoir + Uniform,100,2,0.17679999999999998,0.5378000000000001
split_cifar10,reservoir_uniform,Reservoir + Uniform,100,3,0.12519999999999998,0.5668
split_cifar10,reservoir_uniform,Reservoir + Uniform,100,4,0.1571,0.5646000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,100,0,0.1295,0.5564
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,100,1,0.1535,0.5392
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,100,2,0.1351,0.5761
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,100,3,0.11579999999999999,0.5606
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,100,4,0.1156,0.5574
split_cifar10,reservoir_ig,Reservoir + IG-priority,100,0,0.12789999999999999,0.5246000000000001
split_cifar10,reservoir_ig,Reservoir + IG-priority,100,1,0.1705,0.5222
split_cifar10,reservoir_ig,Reservoir + IG-priority,100,2,0.1447,0.5594
split_cifar10,reservoir_ig,Reservoir + IG-priority,100,3,0.1433,0.5612
split_cifar10,reservoir_ig,Reservoir + IG-priority,100,4,0.1964,0.5111
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,0,0.1254,0.5687
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,1,0.1381,0.5493
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,2,0.10289999999999999,0.5715999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,3,0.14179999999999998,0.5632
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,4,0.1517,0.572
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,0,0.1412,0.5660000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,1,0.1416,0.5059
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,2,0.1248,0.5659000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,3,0.14850000000000002,0.5648
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,4,0.1544,0.5473
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,0,0.1452,0.5535
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,1,0.1519,0.5193
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,2,0.16190000000000002,0.5335
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,3,0.12689999999999999,0.5434
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,4,0.1625,0.5820000000000001
